Paragraph,yake_keywords,yake_execution_time,keybert_keyphrases,execution_time,embedrank_keywords,embedrank_time
"HNB FINANCE partners Kiya.ai January , HNB FINANCE presence branch Mullaitivu January , HNB FINANCE International Women s Day March , HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya February , HNB FINANCE partners Kiya.ai January , HNB FINANCE presence branch Mullaitivu January , HNB FINANCE International Women s Day March , HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya February","['HNB FINANCE International', 'HNB FINANCE partners', 'HNB FINANCE presence', 'HNB Finance young', 'FINANCE International Women', 'Wijeyawardana Vidyalaya February', 'Yalu Daskam Art', 'Daskam Art Workshop', 'Art Workshop Wijeyawardana', 'Workshop Wijeyawardana Vidyalaya']",0.0791988372802734,"['hnb finance partners', 'mullaitivu january hnb', 'women day march', 'workshop wijeyawardana vidyalaya', 'presence branch']",1.6938724517822266,"['hnb finance partners', 'HNB FINANCE partners', 'HNB Finance young', 'HNB FINANCE presence', 'HNB FINANCE International']",0.9652204513549805
HNB FINANCE presence branch Mullaitivu January,"['HNB FINANCE presence', 'branch Mullaitivu January', 'HNB FINANCE', 'Mullaitivu January', 'FINANCE presence branch', 'presence branch Mullaitivu', 'FINANCE presence', 'branch Mullaitivu', 'HNB', 'January']",0.0416345596313476,"['hnb finance presence', 'hnb', 'mullaitivu january', 'branch', 'presence']",0.4032576084136963,"['HNB FINANCE presence', 'hnb finance presence', 'HNB FINANCE', 'branch Mullaitivu January', 'FINANCE presence branch']",0.4998750686645508
This website cookies best experience our website .,"['cookies best experience', 'website cookies', 'experience our website', 'website', 'cookies', 'experience']",0.0139968395233154,"['website cookies best', 'best experience website', 'website', 'best', 'experience']",0.2580876350402832,"['cookies best experience', 'website cookies best', 'website cookies', 'best experience website', 'experience our website']",0.264662504196167
News Updates our latest news updates .,"['latest news updates', 'Updates our latest', 'Updates', 'latest']",0.0060005187988281,"['updates latest news', 'updates latest', 'updates', 'news', 'latest']",0.2050738334655761,"['updates latest news', 'latest news updates', 'Updates our latest', 'updates latest', 'updates']",0.25243234634399414
HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya,"['Workshop Wijeyawardana Vidyalaya', 'Yalu Daskam Art', 'Daskam Art Workshop', 'Art Workshop Wijeyawardana', 'HNB Finance young', 'minds Yalu Daskam', 'HNB Finance', 'Wijeyawardana Vidyalaya', 'Finance young minds', 'young minds Yalu']",0.0605504512786865,"['hnb finance young', 'art workshop wijeyawardana', 'wijeyawardana vidyalaya', 'minds yalu', 'young minds']",0.720463752746582,"['Yalu Daskam Art', 'minds Yalu Daskam', 'Workshop Wijeyawardana Vidyalaya', 'art workshop wijeyawardana', 'Art Workshop Wijeyawardana']",1.1901724338531494
Strength Born Strength,"['Strength Born Strength', 'Strength Born', 'Born Strength', 'Strength', 'Born']",0.0060007572174072,"['strength born strength', 'strength born', 'strength', 'born strength', 'born']",0.2176203727722168,"['Strength Born Strength', 'strength born strength', 'Strength Born', 'strength born', 'Born Strength']",0.4064018726348877
"Services Convenience Flexibility HNB Finance PLC Strength Strength HNB Finance subsidiary Hatton National Bank PLC unblemished record almost two decades leader finance industry diverse portfolio financial products services . Products your future products growth Success Stories Our keen focus entrepreneurs across country us SME SSE communities their full potential . HNB FINANCE been immense strength our lives HNB FINANCE been our financial partner over years now . Therefore , we have been able business so . I benefit money business while I able loan without any guarantors through Swashakthi Savings , I able easily money I . Us financial institution passionate team customer centric , well diversified products services responsible sustainable way . Customers Employees Branches Mehewara CSR Projects Mehewara fund series ongoing CSR projects our customers need . fund financial contribution our dedicated employees organisation . HNB Finance oasis Mohoththuwarama Primary School Sri Lanka s financial service provider HNB Finance water purification system Mohoththuwarama Pri . News Updates our latest news updates . HNB FINANCE partners Kiya.ai January , HNB FINANCE presence branch Mullaitivu January , HNB FINANCE International Women s Day March , HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya February , HNB FINANCE partners Kiya.ai January , HNB FINANCE presence branch Mullaitivu January , HNB FINANCE International Women s Day March , HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya February , prev next Great Place TAGS Awards","['HNB FINANCE International', 'FINANCE International Women', 'Wijeyawardana Vidyalaya February', 'Yalu Daskam Art', 'Daskam Art Workshop', 'Art Workshop Wijeyawardana', 'Workshop Wijeyawardana Vidyalaya', 'HNB FINANCE presence', 'HNB Finance young', 'HNB FINANCE partners']",0.142784833908081,"['strength hnb finance', 'entrepreneurs country sme', 'service provider', 'record decades', 'purification mohoththuwarama']",6.875555515289307,"['strength hnb finance', 'HNB FINANCE presence', 'HNB FINANCE International', 'HNB FINANCE partners', 'HNB Finance young']",1.7032504081726074
HNB Finance oasis Mohoththuwarama Primary School Sri Lanka s financial service provider HNB Finance water purification system Mohoththuwarama,"['Primary School Sri', 'School Sri Lanka', 'Mohoththuwarama Primary School', 'HNB Finance oasis', 'provider HNB Finance', 'HNB Finance water', 'oasis Mohoththuwarama Primary', 'Finance oasis Mohoththuwarama', 'service provider HNB', 'Finance water purification']",0.0811710357666015,"['hnb finance water', 'school sri lanka', 'service provider', 'purification', 'primary']",0.8375020027160645,"['Finance oasis Mohoththuwarama', 'HNB Finance oasis', 'HNB Finance water', 'hnb finance water', 'oasis Mohoththuwarama Primary']",0.6852684020996094
"financial institution passionate team customer centric , well diversified products services responsible sustainable","['financial institution passionate', 'team customer centric', 'services responsible sustainable', 'institution passionate team', 'passionate team customer', 'diversified products services', 'products services responsible', 'financial institution', 'customer centric', 'responsible sustainable']",0.0765209197998046,"['team customer centric', 'financial institution passionate', 'diversified products services', 'sustainable', 'centric diversified']",0.553656816482544,"['financial institution passionate', 'institution passionate team', 'passionate team customer', 'team customer centric', 'financial institution']",0.36721324920654297
Services Convenience Flexibility,"['Services Convenience Flexibility', 'Convenience Flexibility', 'Services Convenience', 'Flexibility', 'Convenience', 'Services']",0.0170004367828369,"['services convenience flexibility', 'convenience flexibility', 'convenience', 'flexibility', 'services']",0.1989107131958007,"['Services Convenience Flexibility', 'services convenience flexibility', 'convenience flexibility', 'Convenience Flexibility', 'Services Convenience']",0.2996199131011963
