Comment,Aspect,Date,brand,trigger_keywords
Diposhit puluwn dd..,,2021-02-20T03:06:11Z,Hatton National Bank,['HNB']
Ayye huawei y7A phone eka ganath one,,2021-02-20T02:57:37Z,Hatton National Bank,['HNB']
Ayye huawei y7A phone eka ganath oneeeee,,2021-02-20T02:57:02Z,Hatton National Bank,['HNB']
Fortnite gameply ekak one ayako,,2021-02-20T02:49:29Z,Hatton National Bank,['HNB']
"Apahu"" sinhala geek show ekata එහෙමත් නැත්තං chanux bro youtube chanel ekata kiyana kallata"" කැමති aya ko",,2021-02-20T02:47:49Z,Hatton National Bank,['HNB']
Video එක නම්. හොදයි අය්යේ මේ. ගේම් එක ගැන video එකක් කරන්නකෝ. Cutie garden,,2021-02-20T02:25:51Z,Hatton National Bank,['HNB']
Video එක නම්. හොදයි අය්යේ මේ. ගේම් එක ගැන video එකක් කරන්නකෝ. Cutie garden,,2021-02-20T02:25:51Z,Hatton National Bank,['HNB']
ps5 ultimate gaming setup ekath dannakoo,,2021-02-20T01:13:16Z,Hatton National Bank,['HNB']
Supper  app  eka.,,2021-02-20T00:50:52Z,Hatton National Bank,['HNB']
Niyamai aiya.,,2021-02-19T23:24:50Z,Hatton National Bank,['HNB']
app story eke nane app eka,,2021-02-19T22:42:45Z,Hatton National Bank,['HNB']
Mge tec hero,,2021-02-19T19:46:41Z,Hatton National Bank,['HNB']
Mata sapota  karannako,,2021-02-19T19:21:51Z,Hatton National Bank,['HNB']
anuka di silwa kiyanne kauda aiye,,2021-02-19T19:02:25Z,Hatton National Bank,['HNB']
"*තෙරුවන්සරණයි! යාලුවනේ*

*තවත් කෙනෙක්ගේ දියුණුවක් දැකලා හදවතින්ම සතුටු වෙන්න පුලුවන් ආදරණීය හදවත්වලින් ඉල්ලන අහිංසක ඉල්ලිමක්*

*නිදහසේ අහන්න පුලුවන් ලස්සන සිංදු ටිකක් මගේ චැනල් එකේ තියෙනවා, ඇවිත් බලන්න, හොදයිනම්  සහයෝගයක් දෙන්න.සහයෝගය ඕනී යාලුවොත් එන්න comment එකක් දාන්න*

*තෙරුවන්සරණයි! 
පරිස්සමෙන් ඉන්න*.....",,2021-02-19T19:01:43Z,Hatton National Bank,['HNB']
"Niyama app ekak supiri 
Thank you chanux aiye",,2021-02-19T18:06:22Z,Hatton National Bank,['HNB']
වැඩිම like ප්‍රමාණයක් තියෙන comment එකක් සහ chanux අයියා ගෙන් love එකක් එකක් ගන්න බලාගෙන ඉන්න අය කවුද ? ,,2021-02-19T17:56:41Z,Hatton National Bank,['HNB']
සුපිරි සුපිරි ,,2021-02-19T17:34:53Z,Hatton National Bank,['HNB']
"එල එල  chanux 
",,2021-02-19T17:33:52Z,Hatton National Bank,['HNB']
කෝ බලන්න හැමදාම chanux ගේ videos බලන කට්ටිය,,2021-02-19T17:23:56Z,Hatton National Bank,['HNB']
නිදාගන්න හැදුවා විතරයි අනෙ,,2021-02-19T17:20:39Z,Hatton National Bank,['HNB']
Nidiyanna yaddi me video eka balapu kattiya me konata,,2021-02-19T17:18:27Z,Hatton National Bank,['HNB']
තේ එකක් බිස්කට් එකක් අරගෙන ලෑස්ති වෙන්න දෙයක් නෑ රෑට කාලා ඉන්නේ. 🤣🤣🤣🤣🤣,,2021-02-19T17:10:13Z,Hatton National Bank,['HNB']
අයියා huawei celia  assistant gana video ekak oni,,2021-02-19T17:09:28Z,Hatton National Bank,['HNB']
whatapp unband karanna khda,,2021-02-19T16:57:32Z,Hatton National Bank,['HNB']
chanux ayiya gan thama  akak ganna Bari Una aya ko ,,2021-02-19T16:57:20Z,Hatton National Bank,['HNB']
Razer laptops gana video ekak one,,2021-02-19T16:55:42Z,Hatton National Bank,['HNB']
golden button කපරක්කුඉ පරක්කුයි කියන කට්ටිය  like එකක් දාගෙනයන්න,,2021-02-19T16:55:41Z,Hatton National Bank,['HNB']
Chanux ayye mn laga 26800mAh battery ekak tiyena phone ekak tiyenwa habay display gihilla display ekak hoyaganna na ,,2021-02-19T16:54:51Z,Hatton National Bank,['HNB']
kawda chanux brota kemithi like karana yata,,2021-02-19T16:53:26Z,Hatton National Bank,['HNB']
ජයවේවා ,,2021-02-19T16:53:13Z,Hatton National Bank,['HNB']
"🥂.
අහලා බලන්න ඇසිපියන් 
https://youtu.be/ORtzCwgcvE0
සම්පූර්ණ ගීතයම රසවිඳ, හොඳයි නම් channel එකත් sub කරලා ගීතයේ හොඳ නරක comment එකකින් කියන්න 
ඔබට ජය ",,2021-02-19T16:52:55Z,Hatton National Bank,['HNB']
Supiri video ekak chanux bro bannema hida ewa..,,2021-02-19T16:51:26Z,Hatton National Bank,['HNB']
Ape mudal walata lebena arakshawa kohomada?video ekak danna,,2025-05-11T14:31:37Z,Hatton National Bank,['HNB']
Ahurudu..2kata..dala..masan..poliya..ganna..laksa..39kta..keyada,,2025-04-24T08:49:31Z,Hatton National Bank,['HNB']
අද,,2025-02-27T16:10:27Z,Hatton National Bank,['HNB']
Sishshathweta thegi dennedda oyala  anith bank wala denawa.,,2025-01-31T15:52:19Z,Hatton National Bank,['HNB']
බෙහෙවින්ම ස්තුතියි දැනුවත් කිරීම ගැන ඔබතුමාට ,,2025-01-22T10:07:20Z,Hatton National Bank,['HNB']
"Anay..may..boru danna. Apa..YouTube..akay..saile..hoyanawa 

Borukarayo",,2025-01-20T10:53:26Z,Hatton National Bank,['HNB']
ඔයා කියන දේ කිසිම වැදගත් කමක් නැත.,,2025-01-20T06:54:00Z,Hatton National Bank,['HNB']
Boru baila..mewa balala ape kalaya nasthi wenawa..pissu,,2025-01-19T19:28:38Z,Hatton National Bank,['HNB']
Nickname ekata mokada danne,,2025-01-02T03:59:13Z,Hatton National Bank,['HNB']
"frimi aluth update eke full function vedio ekak genna, aluth debit card eke design ekath pennanna pulwnda",,2024-11-17T16:04:51Z,Hatton National Bank,['HNB']
